vin,id
5YJ3E1EB0JF096290,RN108141742
5YJ3E1EB3JF069231,RN108389052
5YJ3E1EB1JF107345,RN108708678
5YJ3E1EB9JF103284,RN107218967
5YJ3E1EB4JF100633,RN108011001
5YJ3E1EB3JF071755,RN108464588
5YJ3E1EB8JF092549,RN109061192
5YJ3E1EB8JF104751,RN108467162
5YJ3E1EBXJF077200,RN108371567
5YJ3E1EB6JF069031,RN109062706
5YJ3E1EB3JF093271,RN109063717
5YJ3E1EB4JF094316,RN108852985
5YJ3E1EB3JF096414,RN107253045
5YJ3E1EB5JF116709,RN107944755
5YJ3E1EBXJF090527,RN109101490
5YJ3E1EB1JF117288,RN109119817
5YJ3E1EB6JF086900,RN107235943
5YJ3E1EB2JF093682,RN108918165
5YJ3E1EB1JF089672,RN109128010
5YJ3E1EB1JF087436,RN107647449
5YJ3E1EB2JF096291,RN100010409
5YJ3E1EB2JF066840,RN107081532
5YJ3E1EBXJF071333,RN108235753
5YJ3E1EBXJF111300,RN108314973
5YJ3E1EB8JF100070,RN107677851
5YJ3E1EB2JF107063,RN107210408
5YJ3E1EB4JF095983,RN108861729
5YJ3E1EB3JF064420,RN108578175
5YJ3E1EBXJF103441,RN108407837
5YJ3E1EB3JF090645,RN107892271
5YJ3E1EB8JF068236,RN108493821
5YJ3E1EB1JF116630,RN108870021
5YJ3E1EB8JF077146,RN107898145
5YJ3E1EB7JF071306,RN108746788
5YJ3E1EB0JF076945,RN107352153
5YJ3E1EB0JF112441,RN107700475
5YJ3E1EBXJF077164,RN108223476
5YJ3E1EB8JF100523,RN107474601
5YJ3E1EB1JF103263,RN107566665
5YJ3E1EB3JF091164,RN108697709
5YJ3E1EB5JF070624,RN108753499
5YJ3E1EB3JF068483,RN108777148
5YJ3E1EB6JF071815,RN108608123
5YJ3E1EB9JF064101,RN107353288
5YJ3E1EB8JF092326,RN107519722
5YJ3E1EB1JF103621,RN108758201
5YJ3E1EB4JF068864,RN107888399
5YJ3E1EB7JF070611,RN107230145
5YJ3E1EB1JF073603,RN107343910
5YJ3E1EB2JF099501,RN107589680
5YJ3E1EB5JF087956,RN108557426
5YJ3E1EB4JF104214,RN107882746
5YJ3E1EB0JF071307,RN108659878
5YJ3E1EB7JF104241,RN107553790
5YJ3E1EB8JF054819,RN108067424
5YJ3E1EB4JF076977,RN108178936
5YJ3E1EB1JF095969,RN107640945
5YJ3E1EB9JF096268,RN107404791
5YJ3E1EB6JF089960,RN107173161
5YJ3E1EB3JF100007,RN108830374
5YJ3E1EB8JF070017,RN107911680
5YJ3E1EB2JF099819,RN107655241
5YJ3E1EB7JF064310,RN108844813
5YJ3E1EB2JF064652,RN108912885
5YJ3E1EB1JF067316,RN108510633
5YJ3E1EB9JF068678,RN107811978
5YJ3E1EB1JF111671,RN108540721
5YJ3E1EBXJF067278,RN107226377
5YJ3E1EB3JF068918,RN108419907
5YJ3E1EB4JF074808,RN108313064
5YJ3E1EB0JF065671,RN107191097
5YJ3E1EBXJF091873,RN108560410
5YJ3E1EB8JF109737,RN108838584
5YJ3E1EB2JF087591,RN108324812
5YJ3E1EB4JF100762,RN108797891
5YJ3E1EB5JF100432,RN107894726
5YJ3E1EB1JF100542,RN107840392
5YJ3E1EB7JF100612,RN108179871
5YJ3E1EBXJF110288,RN108083824
5YJ3E1EB5JF107637,RN108639825
5YJ3E1EB7JF089790,RN107019569
5YJ3E1EB0JF089029,RN107850709
5YJ3E1EB8JF115944,RN107530853
5YJ3E1EB6JF096326,RN107608583
5YJ3E1EBXJF112378,RN107587620
5YJ3E1EB5JF073782,RN108687786
5YJ3E1EB3JF093348,RN107988246
5YJ3E1EB4JF074839,RN108119601
5YJ3E1EB9JF068505,RN107659834
